# realdump/bin_5  RELASZ=0x56700  entries=14752
# idx | r_offset            r_info       type  sym | addend                 decode
    0 | 0x0000000000403fd8  0x0000000100000006  GLOB_DAT   1 | 0x0000000000000000  
    1 | 0x0000000000403fe0  0x0000000500000006  GLOB_DAT   5 | 0x0000000000000000  
    2 | 0x0000000000804110  0x0000000b00000001  R_64      11 | 0x0000000000000008   sym11.val=0x403fe8
    3 | 0x0000000000804110  0x0000000b00000005  COPY      11 | 0x0000000000000000   sym11.val=0x403fe8
    4 | 0x0000000000804140  0x0000000b00000001  R_64      11 | 0x0000000000000018   sym11.val=0x403fe8
    5 | 0x0000000000804140  0x0000000d00000005  COPY      13 | 0x0000000000000000  
    6 | 0x0000000000804140  0x0000000d00000001  R_64      13 | 0x0000000000000018  
    7 | 0x0000000000804140  0x0000000d00000005  COPY      13 | 0x0000000000000000  
    8 | 0x0000000000804140  0x0000000d00000001  R_64      13 | 0x0000000000000018  
    9 | 0x0000000000804140  0x0000000d00000005  COPY      13 | 0x0000000000000000  
   10 | 0x0000000000804140  0x0000000d00000005  COPY      13 | 0x0000000000000000  
   11 | 0x0000000000804128  0x0000000d00000001  R_64      13 | 0x00000000000392d0  
   12 | 0x0000000000804128  0x0000000c00000005  COPY      12 | 0x0000000000000000  
   13 | 0x0000000000804128  0x0000000c00000001  R_64      12 | 0xfffffffffffffff0  
   14 | 0x0000000000804158  0x0000000c00000005  COPY      12 | 0x0000000000000000  
   15 | 0x0000000000804180  0x0000000e00000005  COPY      14 | 0x0000000000000000  
   16 | 0x0000000000804128  0x0000000c00000001  R_64      12 | 0x0000000000000010  
   17 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   18 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   19 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   20 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   21 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   22 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   23 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   24 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   25 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   26 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   27 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   28 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   29 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   30 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   31 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   32 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   33 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   34 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
   35 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
   36 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
